
304it [19:32,  4.85s/it]
305it [19:37,  4.78s/it]
306it [19:40,  4.44s/it]
307it [19:47,  5.18s/it]
308it [19:50,  4.51s/it]
309it [19:53,  4.10s/it]
310it [20:03,  5.70s/it]
311it [20:06,  4.90s/it]
312it [20:09,  4.46s/it]
313it [20:12,  4.02s/it]
314it [20:15,  3.70s/it]
315it [20:20,  4.17s/it]
316it [20:24,  3.89s/it]
317it [20:27,  3.64s/it]
318it [20:32,  4.05s/it]
319it [20:35,  3.87s/it]
320it [20:40,  4.01s/it]
321it [20:50,  5.85s/it]
322it [20:53,  5.04s/it]
323it [20:56,  4.47s/it]
324it [20:59,  4.15s/it]
325it [21:04,  4.20s/it]
326it [21:07,  3.89s/it]
327it [21:10,  3.52s/it]
328it [21:12,  3.31s/it]
329it [21:17,  3.60s/it]
330it [21:21,  3.85s/it]
331it [21:32,  5.85s/it]
332it [21:34,  4.97s/it]
333it [21:39,  4.78s/it]
334it [21:43,  4.75s/it]
335it [21:48,  4.54s/it]
336it [21:52,  4.64s/it]
337it [21:55,  4.15s/it]
338it [21:58,  3.78s/it]
339it [22:03,  3.93s/it]
340it [22:10,  4.99s/it]
341it [22:13,  4.52s/it]
342it [22:17,  4.13s/it]
343it [22:24,  4.95s/it]
344it [22:27,  4.43s/it]
345it [22:31,  4.52s/it]
346it [22:35,  4.22s/it]
347it [22:39,  4.07s/it]
348it [22:57,  8.25s/it]
349it [23:00,  6.76s/it]
350it [23:03,  5.61s/it]
351it [23:08,  5.41s/it]
352it [23:14,  5.55s/it]
353it [23:17,  4.96s/it]
354it [23:22,  4.99s/it]
355it [23:26,  4.43s/it]
356it [23:29,  4.20s/it]
357it [23:35,  4.75s/it]
358it [23:41,  5.17s/it]
359it [23:45,  4.55s/it]
360it [23:48,  4.15s/it]
361it [23:51,  3.85s/it]
362it [23:55,  3.90s/it]
363it [23:58,  3.81s/it]
364it [24:08,  5.61s/it]
365it [24:14,  5.62s/it]
366it [24:17,  4.80s/it]
367it [24:20,  4.27s/it]
368it [24:36,  7.97s/it]
369it [24:39,  6.48s/it]
370it [24:45,  6.25s/it]
371it [24:49,  5.63s/it]
372it [24:52,  4.80s/it]
373it [25:02,  6.33s/it]
374it [25:13,  7.60s/it]
375it [25:16,  6.17s/it]
376it [25:30,  8.66s/it]
377it [25:39,  8.88s/it]
378it [25:43,  7.44s/it]
379it [25:46,  6.03s/it]
380it [25:50,  5.40s/it]
381it [25:55,  5.14s/it]
382it [25:57,  4.44s/it]
383it [26:00,  3.99s/it]
384it [26:17,  7.74s/it]
385it [26:20,  6.29s/it]
386it [26:23,  5.26s/it]
387it [26:26,  4.77s/it]
388it [26:51, 10.82s/it]
389it [26:55,  8.58s/it]
390it [27:03,  8.41s/it]
391it [27:06,  6.85s/it]
392it [27:40, 15.14s/it]
393it [28:12, 19.98s/it]
394it [28:15, 14.89s/it]
395it [28:17, 11.28s/it]
396it [28:21,  9.10s/it]
397it [28:24,  7.23s/it]
398it [28:27,  5.93s/it]
399it [28:31,  5.21s/it]
400it [28:34,  4.54s/it]
401it [28:37,  4.27s/it]
402it [28:57,  8.98s/it]
403it [29:04,  8.37s/it]
404it [29:07,  6.71s/it]
405it [29:28, 10.96s/it]
406it [29:31,  8.58s/it]
407it [29:56, 13.41s/it]
408it [29:59, 10.28s/it]
409it [30:03,  8.58s/it]
410it [30:10,  8.03s/it]
411it [30:14,  6.80s/it]
412it [30:17,  5.61s/it]
413it [30:20,  4.96s/it]
414it [30:23,  4.40s/it]
415it [30:26,  3.95s/it]
416it [30:30,  3.99s/it]
417it [30:33,  3.62s/it]
418it [30:36,  3.40s/it]
419it [31:08, 12.14s/it]
420it [31:12,  9.44s/it]
421it [31:15,  7.49s/it]
422it [31:18,  6.41s/it]
423it [31:21,  5.38s/it]
424it [31:25,  4.93s/it]
425it [31:29,  4.63s/it]
426it [31:32,  4.11s/it]
427it [31:36,  4.02s/it]
428it [31:39,  3.71s/it]
429it [31:42,  3.46s/it]
430it [31:47,  3.92s/it]
431it [31:50,  3.71s/it]
432it [31:53,  3.49s/it]
433it [32:01,  4.70s/it]
434it [32:04,  4.44s/it]
435it [32:20,  7.68s/it]
436it [32:23,  6.28s/it]
437it [32:26,  5.34s/it]
438it [32:30,  5.03s/it]
439it [32:33,  4.45s/it]
440it [32:40,  5.21s/it]
441it [32:45,  4.95s/it]
442it [32:51,  5.38s/it]
443it [32:54,  4.57s/it]
444it [32:56,  4.05s/it]
445it [33:00,  3.77s/it]
446it [33:02,  3.52s/it]
447it [33:07,  3.73s/it]
448it [33:11,  3.82s/it]
449it [33:14,  3.52s/it]
450it [33:18,  3.72s/it]
451it [33:23,  4.14s/it]
452it [33:27,  4.29s/it]
453it [33:30,  3.90s/it]
454it [33:34,  3.65s/it]
455it [33:45,  5.98s/it]
456it [33:48,  5.15s/it]
457it [33:54,  5.47s/it]
458it [33:58,  4.95s/it]
459it [34:05,  5.56s/it]
460it [34:09,  5.07s/it]
461it [34:12,  4.43s/it]
462it [34:15,  3.96s/it]
463it [34:19,  3.88s/it]
464it [34:24,  4.40s/it]
465it [34:28,  4.24s/it]
466it [34:31,  3.95s/it]
467it [34:38,  4.81s/it]
468it [34:47,  6.02s/it]
469it [34:52,  5.84s/it]
470it [34:55,  5.01s/it]
471it [34:59,  4.53s/it]
472it [35:10,  6.59s/it]
473it [35:14,  5.68s/it]
474it [35:21,  6.15s/it]
475it [35:26,  5.89s/it]
476it [35:32,  5.75s/it]
477it [35:36,  5.45s/it]
478it [35:39,  4.58s/it]
479it [35:42,  4.07s/it]
480it [35:46,  4.12s/it]
481it [35:49,  3.74s/it]
482it [35:57,  5.07s/it]
483it [36:00,  4.41s/it]
484it [36:03,  3.98s/it]
485it [36:07,  3.90s/it]
486it [36:12,  4.29s/it]
487it [36:15,  3.90s/it]
488it [36:18,  3.71s/it]
489it [36:21,  3.42s/it]
490it [36:29,  4.79s/it]
491it [36:33,  4.72s/it]
492it [36:37,  4.24s/it]
493it [36:41,  4.26s/it]
494it [36:45,  4.35s/it]
495it [36:53,  5.26s/it]
496it [36:56,  4.62s/it]
497it [36:59,  4.11s/it]
498it [37:02,  3.73s/it]
499it [37:06,  3.80s/it]
500it [37:09,  3.60s/it]
501it [37:14,  3.93s/it]
502it [37:17,  3.92s/it]
503it [37:22,  4.15s/it]
504it [37:26,  3.98s/it]
505it [37:29,  3.66s/it]
506it [37:35,  4.60s/it]
507it [37:40,  4.49s/it]
508it [37:43,  4.06s/it]
509it [37:47,  4.17s/it]
510it [37:50,  3.84s/it]
511it [37:53,  3.63s/it]
512it [37:56,  3.39s/it]
513it [38:01,  3.85s/it]
514it [38:10,  5.51s/it]
515it [38:15,  5.33s/it]
516it [38:18,  4.52s/it]
517it [38:22,  4.28s/it]
518it [38:27,  4.43s/it]
519it [38:30,  4.28s/it]
520it [38:34,  3.94s/it]
521it [38:43,  5.68s/it]
522it [38:47,  4.93s/it]
523it [38:51,  4.78s/it]
524it [39:03,  6.98s/it]
525it [39:06,  5.83s/it]
526it [39:09,  5.00s/it]
527it [39:12,  4.41s/it]
528it [39:18,  4.84s/it]
529it [39:21,  4.29s/it]
530it [39:24,  3.90s/it]
531it [39:27,  3.64s/it]
532it [39:30,  3.46s/it]
533it [39:35,  3.99s/it]
534it [39:42,  4.63s/it]
535it [39:46,  4.46s/it]
536it [39:49,  4.01s/it]
537it [40:03,  7.26s/it]
538it [40:07,  6.01s/it]
539it [40:13,  6.15s/it]
540it [40:16,  5.17s/it]
541it [40:19,  4.50s/it]
542it [40:22,  4.11s/it]
543it [40:29,  4.99s/it]
544it [40:36,  5.65s/it]
545it [40:40,  5.03s/it]
546it [40:44,  4.90s/it]
547it [40:47,  4.33s/it]
548it [40:50,  3.90s/it]
549it [41:03,  6.40s/it]
550it [41:07,  5.95s/it]
551it [41:10,  5.05s/it]
552it [41:14,  4.52s/it]
553it [41:19,  4.83s/it]
554it [41:23,  4.53s/it]
555it [41:26,  4.07s/it]
556it [41:30,  4.07s/it]
557it [41:34,  3.87s/it]
558it [41:37,  3.75s/it]
559it [41:43,  4.43s/it]
560it [42:01,  8.36s/it]
561it [42:04,  6.78s/it]
562it [42:09,  6.41s/it]
563it [42:12,  5.34s/it]
564it [42:25,  7.67s/it]
565it [42:37,  9.01s/it]
566it [42:41,  7.29s/it]
567it [42:44,  6.16s/it]
568it [42:49,  5.64s/it]
569it [42:52,  4.91s/it]
570it [42:59,  5.48s/it]
571it [43:04,  5.43s/it]
572it [43:09,  5.25s/it]
573it [43:13,  4.91s/it]
574it [43:17,  4.74s/it]
575it [43:21,  4.55s/it]
576it [43:27,  5.06s/it]
577it [43:34,  5.56s/it]
578it [43:37,  4.76s/it]
579it [43:40,  4.22s/it]
580it [43:44,  4.12s/it]
581it [43:47,  3.75s/it]
582it [43:58,  5.84s/it]
583it [44:01,  5.00s/it]
584it [44:06,  5.03s/it]
585it [44:11,  4.97s/it]
586it [44:14,  4.64s/it]
587it [44:19,  4.52s/it]
588it [44:24,  4.63s/it]
589it [44:27,  4.34s/it]
590it [44:30,  3.85s/it]
591it [44:34,  4.00s/it]
592it [44:47,  6.68s/it]
593it [44:51,  5.90s/it]
594it [44:58,  6.17s/it]
595it [45:02,  5.60s/it]
596it [45:07,  5.25s/it]
597it [45:10,  4.51s/it]
598it [45:13,  4.20s/it]
599it [45:18,  4.31s/it]
600it [45:21,  4.07s/it]
601it [45:24,  3.75s/it]
602it [45:27,  3.44s/it]
603it [45:32,  3.81s/it]
604it [45:35,  3.57s/it]
605it [45:38,  3.66s/it]
606it [45:42,  3.58s/it]
607it [45:45,  3.37s/it]
608it [45:49,  3.56s/it]
609it [46:01,  6.15s/it]
610it [46:04,  5.19s/it]
611it [46:07,  4.71s/it]
612it [46:14,  5.28s/it]
613it [46:18,  4.81s/it]
614it [46:28,  6.49s/it]
615it [46:43,  8.96s/it]
616it [46:57, 10.49s/it]
617it [47:01,  8.67s/it]
618it [47:05,  7.29s/it]
619it [47:08,  6.03s/it]
620it [47:18,  6.96s/it]
621it [47:20,  5.67s/it]
622it [47:26,  5.70s/it]
623it [47:29,  4.97s/it]
624it [47:32,  4.35s/it]
625it [47:35,  3.92s/it]
626it [47:39,  4.01s/it]
627it [47:43,  4.03s/it]
628it [47:48,  4.09s/it]
629it [47:52,  4.24s/it]
630it [47:56,  4.11s/it]
631it [47:59,  3.83s/it]
632it [48:05,  4.44s/it]
633it [48:08,  3.98s/it]
634it [48:11,  3.65s/it]
635it [48:14,  3.42s/it]
636it [48:22,  4.87s/it]
637it [48:25,  4.31s/it]
638it [48:30,  4.42s/it]
639it [48:33,  4.13s/it]
640it [48:36,  3.77s/it]
641it [48:39,  3.53s/it]
642it [48:43,  3.60s/it]
643it [48:46,  3.51s/it]
644it [48:57,  5.63s/it]
645it [49:02,  5.64s/it]
646it [49:09,  6.04s/it]
647it [49:16,  6.33s/it]
648it [49:28,  8.03s/it]
649it [49:31,  6.54s/it]
650it [49:34,  5.43s/it]
651it [49:40,  5.60s/it]
652it [49:43,  4.75s/it]
653it [49:47,  4.46s/it]
654it [49:50,  4.20s/it]
655it [49:57,  4.84s/it]
656it [50:06,  6.24s/it]
657it [50:12,  6.12s/it]
658it [50:17,  5.71s/it]
659it [50:20,  4.90s/it]
660it [50:23,  4.28s/it]
661it [50:27,  4.25s/it]
662it [50:32,  4.67s/it]
663it [50:39,  5.32s/it]
664it [50:43,  4.72s/it]
665it [50:46,  4.33s/it]
666it [51:01,  7.59s/it]
667it [51:06,  6.78s/it]
668it [51:13,  6.82s/it]
669it [51:16,  5.69s/it]
670it [51:20,  5.14s/it]
671it [51:26,  5.31s/it]
672it [51:30,  4.87s/it]
673it [51:33,  4.36s/it]
674it [51:36,  4.03s/it]
675it [51:39,  3.67s/it]
676it [51:44,  4.00s/it]
677it [51:48,  4.08s/it]
678it [51:51,  3.94s/it]
679it [51:55,  3.82s/it]
680it [51:59,  4.01s/it]
681it [52:02,  3.73s/it]
682it [52:06,  3.53s/it]
683it [52:08,  3.32s/it]
684it [52:11,  3.25s/it]
685it [52:14,  3.11s/it]
686it [52:18,  3.44s/it]
687it [52:21,  3.28s/it]
688it [52:24,  3.04s/it]
689it [52:27,  3.00s/it]
690it [52:43,  6.90s/it]
691it [52:57,  9.25s/it]
692it [53:05,  8.61s/it]
693it [53:08,  7.13s/it]
694it [53:11,  5.94s/it]
695it [53:15,  5.37s/it]
696it [53:20,  5.06s/it]
697it [53:23,  4.55s/it]
698it [53:29,  4.97s/it]
699it [53:33,  4.79s/it]
700it [53:37,  4.49s/it]
701it [53:41,  4.30s/it]
702it [53:45,  4.19s/it]
703it [53:48,  3.81s/it]
704it [53:58,  5.61s/it]
705it [54:13,  8.62s/it]
706it [54:17,  7.20s/it]
707it [54:20,  5.98s/it]
708it [54:32,  7.52s/it]
709it [54:35,  6.32s/it]
710it [54:38,  5.43s/it]
711it [54:50,  7.26s/it]
712it [54:54,  6.26s/it]
713it [54:57,  5.40s/it]
714it [55:02,  5.11s/it]
715it [55:05,  4.49s/it]
716it [55:12,  5.35s/it]
717it [55:16,  4.96s/it]
718it [55:19,  4.35s/it]
719it [55:22,  4.00s/it]
720it [55:25,  3.65s/it]
721it [55:29,  3.57s/it]
722it [55:32,  3.68s/it]
723it [55:38,  4.26s/it]
724it [55:41,  3.93s/it]
725it [55:46,  4.16s/it]
726it [55:49,  3.72s/it]
727it [55:52,  3.49s/it]
728it [55:55,  3.42s/it]
729it [55:58,  3.33s/it]
730it [56:02,  3.50s/it]
731it [56:06,  3.74s/it]
732it [56:09,  3.53s/it]
733it [56:12,  3.36s/it]
734it [56:16,  3.36s/it]
735it [56:20,  3.56s/it]
736it [56:23,  3.65s/it]
737it [56:26,  3.35s/it]
738it [56:33,  4.37s/it]
739it [56:37,  4.29s/it]
740it [56:40,  3.90s/it]
741it [56:46,  4.61s/it]
742it [56:50,  4.45s/it]
743it [56:53,  3.98s/it]
744it [56:56,  3.58s/it]
745it [56:59,  3.38s/it]
746it [57:01,  3.20s/it]
747it [57:07,  3.86s/it]
748it [57:10,  3.64s/it]
749it [57:14,  3.66s/it]
750it [57:17,  3.44s/it]
751it [57:20,  3.29s/it]
752it [57:23,  3.22s/it]
753it [57:27,  3.63s/it]
754it [57:30,  3.46s/it]
755it [57:36,  4.19s/it]
756it [57:39,  3.80s/it]
757it [57:45,  4.36s/it]
758it [57:48,  4.02s/it]
759it [57:51,  3.82s/it]
760it [57:55,  3.91s/it]
761it [57:58,  3.57s/it]
762it [58:14,  7.09s/it]
763it [58:16,  5.79s/it]
764it [58:21,  5.32s/it]
765it [58:23,  4.62s/it]
766it [58:27,  4.23s/it]
767it [58:31,  4.15s/it]
768it [58:34,  3.82s/it]
769it [58:41,  4.92s/it]
770it [58:46,  4.77s/it]
771it [58:49,  4.19s/it]
772it [58:53,  4.11s/it]
773it [58:55,  3.72s/it]
774it [59:01,  4.20s/it]
775it [59:07,  4.71s/it]
776it [59:10,  4.24s/it]
777it [59:13,  3.92s/it]
778it [59:16,  3.62s/it]
779it [59:19,  3.42s/it]
780it [59:22,  3.26s/it]
781it [59:25,  3.38s/it]
782it [59:29,  3.38s/it]
783it [59:33,  3.57s/it]
784it [59:38,  4.10s/it]
785it [59:43,  4.37s/it]
786it [59:46,  3.95s/it]
787it [59:49,  3.70s/it]
788it [59:52,  3.47s/it]
789it [59:56,  3.73s/it]
790it [1:00:05,  5.13s/it]
791it [1:00:10,  5.15s/it]
792it [1:00:14,  4.87s/it]
793it [1:00:19,  4.74s/it]
794it [1:00:24,  4.85s/it]
795it [1:00:28,  4.58s/it]
796it [1:00:31,  4.14s/it]
797it [1:00:34,  3.98s/it]
798it [1:00:37,  3.71s/it]
799it [1:00:42,  3.97s/it]
800it [1:00:54,  6.47s/it]
801it [1:01:02,  6.78s/it]
802it [1:01:05,  5.65s/it]
803it [1:01:09,  5.11s/it]
804it [1:01:12,  4.43s/it]
805it [1:01:21,  5.79s/it]
806it [1:01:24,  5.21s/it]
807it [1:01:27,  4.48s/it]
808it [1:01:31,  4.33s/it]
809it [1:01:34,  4.01s/it]
810it [1:01:40,  4.42s/it]
811it [1:01:48,  5.67s/it]
812it [1:01:51,  4.83s/it]
813it [1:01:59,  5.85s/it]
814it [1:02:03,  5.05s/it]
815it [1:02:07,  4.77s/it]
816it [1:02:11,  4.49s/it]
817it [1:02:13,  4.01s/it]
818it [1:02:16,  3.67s/it]
819it [1:02:19,  3.41s/it]
820it [1:02:22,  3.19s/it]
821it [1:02:26,  3.41s/it]
822it [1:02:29,  3.29s/it]
823it [1:02:32,  3.25s/it]
824it [1:02:35,  3.17s/it]
825it [1:02:40,  3.86s/it]
826it [1:02:43,  3.57s/it]
827it [1:02:46,  3.38s/it]
828it [1:02:50,  3.56s/it]
829it [1:02:54,  3.55s/it]
830it [1:02:57,  3.47s/it]
831it [1:03:00,  3.31s/it]
832it [1:03:04,  3.40s/it]
833it [1:03:09,  3.89s/it]
834it [1:03:19,  5.87s/it]
835it [1:03:27,  6.51s/it]
836it [1:03:30,  5.51s/it]
837it [1:03:33,  4.70s/it]
838it [1:03:37,  4.43s/it]
839it [1:03:41,  4.23s/it]
840it [1:03:50,  5.89s/it]
841it [1:03:55,  5.61s/it]
842it [1:03:59,  4.94s/it]
843it [1:04:03,  4.61s/it]
844it [1:04:06,  4.22s/it]
845it [1:04:15,  5.56s/it]
846it [1:04:18,  4.82s/it]
847it [1:04:21,  4.27s/it]
848it [1:04:24,  3.91s/it]
849it [1:04:28,  4.14s/it]
850it [1:04:33,  4.40s/it]
851it [1:04:36,  3.99s/it]
852it [1:04:45,  5.30s/it]
853it [1:04:47,  4.52s/it]
854it [1:04:50,  4.04s/it]
855it [1:04:54,  3.77s/it]
856it [1:04:56,  3.46s/it]
857it [1:05:03,  4.47s/it]
858it [1:05:08,  4.58s/it]
859it [1:05:12,  4.28s/it]
860it [1:05:15,  4.03s/it]
861it [1:05:18,  3.87s/it]
862it [1:05:26,  4.86s/it]
863it [1:05:29,  4.36s/it]
864it [1:05:32,  3.98s/it]
